epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1512.54,2.20808,2.82147,2.44019,0.52642,0.25509,0.22814,0.1555,1.86379,3.34636,1.98728,0.00166645,0.00166645,0.00166645
2,3001.36,1.59296,2.08103,1.72939,0.37879,0.34118,0.30388,0.19096,1.60615,2.48366,1.68446,0.00316813,0.00316813,0.00316813
3,4430.06,1.46191,1.86666,1.60457,0.35182,0.42174,0.31922,0.19279,1.52765,2.48268,1.618,0.0045048,0.0045048,0.0045048
4,5815.93,1.35723,1.72445,1.51977,0.50148,0.46615,0.41093,0.263,1.40004,2.01993,1.46121,0.0042575,0.0042575,0.0042575
5,7258.51,1.29789,1.62639,1.4678,0.54485,0.47418,0.48261,0.31007,1.36578,1.89373,1.41859,0.00401,0.00401,0.00401
6,8649.83,1.24903,1.54711,1.43357,0.53798,0.49639,0.5025,0.32387,1.37382,2.01324,1.42744,0.0037625,0.0037625,0.0037625
7,10170.7,1.23038,1.50918,1.41065,0.58243,0.51881,0.51899,0.34859,1.30567,1.76992,1.34729,0.003515,0.003515,0.003515
8,11595.5,1.1981,1.44513,1.38422,0.63198,0.54474,0.56575,0.39441,1.27991,1.60533,1.32492,0.0032675,0.0032675,0.0032675
9,13044.7,1.17451,1.40557,1.37053,0.59197,0.54406,0.54534,0.36417,1.26618,1.80731,1.31434,0.00302,0.00302,0.00302
10,14426.9,1.15331,1.36999,1.35122,0.61977,0.54507,0.56901,0.39988,1.2461,1.59057,1.30007,0.0027725,0.0027725,0.0027725
11,15813,1.14675,1.49187,1.44892,0.5659,0.51293,0.52126,0.37901,1.25971,1.49388,1.30214,0.002525,0.002525,0.002525
12,17183.7,1.12278,1.43498,1.42712,0.57583,0.54827,0.56045,0.40618,1.23655,1.51795,1.29408,0.0022775,0.0022775,0.0022775
13,18613.6,1.09816,1.35521,1.40053,0.62772,0.54775,0.59663,0.43606,1.19801,1.41942,1.24761,0.00203,0.00203,0.00203
14,19986.9,1.08039,1.32619,1.38456,0.61525,0.55832,0.58096,0.43273,1.19148,1.40441,1.25278,0.0017825,0.0017825,0.0017825
15,21360.7,1.06891,1.29312,1.37611,0.6614,0.56505,0.62456,0.45978,1.19369,1.35921,1.24484,0.001535,0.001535,0.001535
16,22734.3,1.0467,1.25334,1.35959,0.67984,0.5762,0.62703,0.4782,1.17793,1.37724,1.2382,0.0012875,0.0012875,0.0012875
17,24131.7,1.01955,1.20509,1.33796,0.7193,0.58233,0.64532,0.48608,1.15893,1.32012,1.2227,0.00104,0.00104,0.00104
18,25637.6,1.0025,1.19699,1.32554,0.6887,0.59437,0.64998,0.4894,1.1602,1.30758,1.22339,0.0007925,0.0007925,0.0007925
19,27014.7,0.99128,1.14883,1.31548,0.69523,0.59522,0.65897,0.50026,1.1399,1.28143,1.20441,0.000545,0.000545,0.000545
20,28437.4,0.97372,1.11859,1.30633,0.71222,0.61856,0.67674,0.50881,1.15046,1.27043,1.21626,0.0002975,0.0002975,0.0002975
