epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1253.17,2.11817,3.49304,2.75448,2.39847,0.49587,0.2703,0.24462,0.17723,0.49008,0.26871,0.23525,0.1627,1.65165,2.93937,3.28114,1.82232,0.00166645,0.00166645,0.00166645
2,3086.62,1.51548,2.74777,2.01666,1.72413,0.46248,0.34743,0.36656,0.22716,0.45292,0.34539,0.35025,0.22822,1.4697,2.56831,2.98332,1.62506,0.00316813,0.00316813,0.00316813
3,4486.64,1.39824,2.55713,1.80812,1.60591,0.42542,0.48325,0.40011,0.25218,0.41249,0.45461,0.38085,0.24671,1.3818,2.40365,2.24181,1.50873,0.00450481,0.00450481,0.00450481
4,6168.93,1.32713,2.42644,1.68553,1.54337,0.43446,0.50974,0.40649,0.27104,0.43523,0.49662,0.41985,0.26876,1.34088,2.36226,2.00527,1.48823,0.0042575,0.0042575,0.0042575
5,7763.62,1.26816,2.32972,1.60264,1.50039,0.46302,0.53848,0.46531,0.28727,0.4618,0.51977,0.46067,0.28856,1.28675,2.2631,2.15004,1.43,0.00401,0.00401,0.00401
6,9296.68,1.23155,2.2801,1.53478,1.46551,0.55265,0.55972,0.54532,0.34834,0.54999,0.5515,0.52987,0.34415,1.27251,2.19188,1.73273,1.40659,0.0037625,0.0037625,0.0037625
7,10720.5,1.20853,2.23136,1.49879,1.44257,0.48637,0.58721,0.51531,0.33835,0.485,0.57141,0.51317,0.33849,1.23636,2.12859,1.81725,1.38172,0.003515,0.003515,0.003515
8,12004,1.17482,2.16525,1.44155,1.41878,0.52249,0.57814,0.5445,0.36491,0.52128,0.56858,0.53527,0.3622,1.21733,2.0837,1.64656,1.34693,0.0032675,0.0032675,0.0032675
9,13380.4,1.15358,2.13492,1.39708,1.40475,0.57018,0.58548,0.53729,0.36298,0.58417,0.5641,0.53005,0.3605,1.21551,2.05039,1.51097,1.344,0.00302,0.00302,0.00302
10,14683.9,1.1302,2.10808,1.35521,1.38631,0.57192,0.61555,0.55246,0.3795,0.57085,0.60218,0.55315,0.37789,1.18394,2.03545,1.54449,1.3209,0.0027725,0.0027725,0.0027725
11,16063.5,1.13175,2.13262,1.48733,1.49089,0.57544,0.56947,0.55998,0.38144,0.57872,0.56433,0.55888,0.38136,1.19902,2.03695,1.43343,1.33827,0.002525,0.002525,0.002525
12,17231.7,1.09756,2.04725,1.3785,1.45989,0.55676,0.60476,0.54821,0.38981,0.55424,0.59869,0.55114,0.38703,1.16087,1.98198,1.39657,1.31565,0.0022775,0.0022775,0.0022775
13,18265.1,1.08048,2.00498,1.3412,1.43782,0.57158,0.59878,0.56674,0.3963,0.57772,0.5791,0.55828,0.38817,1.16827,1.99145,1.35559,1.3059,0.00203,0.00203,0.00203
14,19447.9,1.05736,1.94415,1.28337,1.41962,0.55484,0.63091,0.55961,0.38944,0.54766,0.61407,0.55627,0.38724,1.16398,1.96551,1.35989,1.30659,0.0017825,0.0017825,0.0017825
15,20609.1,1.03613,1.92019,1.23467,1.40662,0.57077,0.64174,0.57224,0.41322,0.57061,0.62904,0.56747,0.40115,1.12774,1.92503,1.3298,1.27758,0.001535,0.001535,0.001535
16,21863,1.01509,1.88239,1.22213,1.38275,0.56583,0.62933,0.5602,0.40177,0.5639,0.61815,0.55439,0.38733,1.11272,1.90815,1.31539,1.26177,0.0012875,0.0012875,0.0012875
17,23135.8,0.99641,1.834,1.1666,1.36564,0.59903,0.64907,0.59012,0.42647,0.59538,0.63275,0.58548,0.41614,1.10156,1.88424,1.27315,1.2565,0.00104,0.00104,0.00104
18,24358.6,0.97909,1.80655,1.13377,1.3518,0.5814,0.66757,0.59998,0.43523,0.57616,0.65129,0.58597,0.41765,1.08835,1.87218,1.2787,1.24109,0.0007925,0.0007925,0.0007925
19,25593.2,0.96082,1.76785,1.1004,1.33235,0.59143,0.66968,0.61198,0.45286,0.5945,0.64545,0.60292,0.43266,1.07484,1.85162,1.24113,1.22654,0.000545,0.000545,0.000545
20,29217.7,0.94133,1.74307,1.06291,1.31768,0.61591,0.67275,0.63128,0.46371,0.61384,0.65232,0.62521,0.44309,1.06958,1.83843,1.21711,1.21859,0.0002975,0.0002975,0.0002975
