epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,130.607,1.62239,3.34054,2.18163,1.8526,0.50965,0.26244,0.26045,0.13853,0.46354,0.21773,0.20837,0.10928,1.56884,3.00718,2.03974,1.8601,0.00166349,0.00166349,0.00166349
2,213.736,1.54623,3.08864,1.98429,1.77542,0.44165,0.28439,0.23819,0.12971,0.42711,0.26401,0.21332,0.11411,1.54902,2.86103,2.08377,1.83003,0.00322026,0.00322026,0.00322026
3,289.975,1.554,3.03773,1.97666,1.76162,0.45085,0.28468,0.25327,0.13976,0.4741,0.26169,0.23091,0.11584,1.55501,2.79096,2.02205,1.81917,0.00466703,0.00466703,0.00466703
4,365.875,1.48389,3.008,1.92748,1.71377,0.48014,0.32574,0.28486,0.15545,0.44764,0.29135,0.25262,0.13183,1.53623,2.82259,1.97295,1.81875,0.004505,0.004505,0.004505
5,441.933,1.46385,2.97203,1.91218,1.68326,0.50774,0.28426,0.27986,0.15611,0.45459,0.26757,0.23978,0.1213,1.49948,2.69199,1.95076,1.75099,0.00434,0.00434,0.00434
6,518.419,1.46501,2.90439,1.85432,1.67613,0.51911,0.32601,0.32215,0.18113,0.49765,0.29668,0.27037,0.14141,1.45991,2.62404,1.85413,1.74222,0.004175,0.004175,0.004175
7,595.371,1.44404,2.88802,1.82142,1.6627,0.54519,0.30875,0.3201,0.18606,0.53407,0.29605,0.28702,0.15529,1.45241,2.60186,1.82111,1.72112,0.00401,0.00401,0.00401
8,671.634,1.40637,2.82142,1.75455,1.65145,0.52552,0.33025,0.32531,0.18891,0.49469,0.28731,0.27908,0.14881,1.44064,2.65895,1.90098,1.71052,0.003845,0.003845,0.003845
9,747.894,1.411,2.78275,1.76183,1.63807,0.49175,0.42315,0.37939,0.22521,0.49609,0.33521,0.30939,0.17199,1.42768,2.53805,1.74406,1.71358,0.00368,0.00368,0.00368
10,823.59,1.39148,2.8016,1.74218,1.62743,0.51648,0.3601,0.37178,0.2158,0.49146,0.32013,0.32427,0.17914,1.41037,2.49626,1.78611,1.66161,0.003515,0.003515,0.003515
11,899.563,1.36906,2.71066,1.69363,1.59622,0.52996,0.35087,0.34826,0.20389,0.50218,0.32496,0.28567,0.15709,1.42114,2.53849,1.73871,1.70292,0.00335,0.00335,0.00335
12,975.749,1.35595,2.72479,1.67356,1.58047,0.56948,0.35088,0.3529,0.21183,0.53562,0.31523,0.30464,0.17474,1.3786,2.47878,1.72163,1.63572,0.003185,0.003185,0.003185
